"BILL_PERIOD","BILLNUMAMEND","BILL_NORM"
"2007-2008","A338","A338"
"2007-2008","A169","A169"
"2007-2008","A115","A115"
"2007-2008","A116","A116"
"2007-2008","A117-A","A117A"
"2007-2008","A118","A118"
"2007-2008","A119-A","A119A"
"2007-2008","A120","A120"
"2007-2008","A121","A121"
"2007-2008","A122","A122"
"2007-2008","A123","A123"
"2007-2008","A236-A","A236A"
"2007-2008","A237","A237"
"2007-2008","A238","A238"
"2007-2008","A239","A239"
"2007-2008","A240","A240"
"2007-2008","A241","A241"
"2007-2008","A242","A242"
"2007-2008","A243","A243"
"2007-2008","A244-A","A244A"
"2007-2008","A245","A245"
"2007-2008","A438","A438"
"2007-2008","A439","A439"
"2007-2008","A388","A388"
"2007-2008","A389","A389"
"2007-2008","A390-A","A390A"
"2007-2008","A391-A","A391A"
"2007-2008","A392-A","A392A"
"2007-2008","A393","A393"
"2007-2008","A394","A394"
"2007-2008","A395-A","A395A"
"2007-2008","A396","A396"
"2007-2008","A397","A397"
"2007-2008","A339-B","A339B"
"2007-2008","A340","A340"
"2007-2008","A374","A374"
"2007-2008","A375","A375"
"2007-2008","A376","A376"
"2007-2008","A430","A430"
"2007-2008","A431","A431"
"2007-2008","A432","A432"
"2007-2008","A433","A433"
"2007-2008","A434-D","A434D"
"2007-2008","A435","A435"
"2007-2008","A436","A436"
"2007-2008","A437","A437"
